frame_id,rho,theta,visible
frame_000.jpg,-136.3416,2.5338,1
frame_001.jpg,-134.8261,2.5280,1
frame_002.jpg,-132.1611,2.5193,1
frame_003.jpg,-129.5191,2.5107,1
frame_004.jpg,-126.9005,2.5023,1
frame_005.jpg,-124.3054,2.4939,1
frame_006.jpg,-122.8534,2.4884,1
frame_007.jpg,-121.4098,2.4830,1
frame_008.jpg,-119.9747,2.4775,1
frame_009.jpg,-118.5482,2.4722,1
frame_010.jpg,-118.2294,2.4695,1
frame_011.jpg,-116.0350,2.4642,1
frame_012.jpg,-115.7212,2.4616,1
frame_013.jpg,-114.6319,2.4589,1
frame_014.jpg,-113.5465,2.4563,1
frame_015.jpg,-113.5465,2.4563,1
frame_016.jpg,-113.5465,2.4563,1
frame_017.jpg,-113.5465,2.4563,1
frame_018.jpg,-114.6319,2.4589,1
frame_019.jpg,-115.7212,2.4616,1
frame_020.jpg,-114.9436,2.4616,1
frame_021.jpg,-117.1303,2.4669,1
frame_022.jpg,-117.4469,2.4695,1
frame_023.jpg,-118.8674,2.4749,1
frame_024.jpg,-121.0857,2.4802,1
frame_025.jpg,-123.6475,2.4884,1
frame_026.jpg,-125.1029,2.4939,1
frame_027.jpg,-126.5667,2.4995,1
frame_028.jpg,-129.1809,2.5079,1
frame_029.jpg,-129.8578,2.5136,1
frame_030.jpg,-132.5041,2.5222,1
frame_031.jpg,-135.1733,2.5309,1
frame_032.jpg,-137.8649,2.5397,1
frame_033.jpg,-140.5787,2.5486,1
frame_034.jpg,-141.2898,2.5546,1
frame_035.jpg,-144.0326,2.5637,1
frame_036.jpg,-145.5924,2.5698,1
frame_037.jpg,-148.3680,2.5791,1
frame_038.jpg,-149.9463,2.5853,1
frame_039.jpg,-151.5311,2.5916,1
frame_040.jpg,-153.1222,2.5980,1
frame_041.jpg,-155.5784,2.6044,1
frame_042.jpg,-155.9504,2.6076,1
frame_043.jpg,-158.4219,2.6141,1
frame_044.jpg,-158.7965,2.6173,1
frame_045.jpg,-160.0382,2.6206,1
frame_046.jpg,-160.0382,2.6206,1
frame_047.jpg,-160.0382,2.6206,1
frame_048.jpg,-160.0382,2.6206,1
frame_049.jpg,-160.0382,2.6206,1
frame_050.jpg,-158.7965,2.6173,0
frame_051.jpg,-157.5579,2.6141,0
frame_052.jpg,-157.1847,2.6108,0
frame_053.jpg,-156.8112,2.6076,0
frame_054.jpg,-153.1222,2.5980,0
frame_055.jpg,-152.7530,2.5948,0
frame_056.jpg,-151.1634,2.5885,0
frame_057.jpg,-149.5801,2.5822,0
frame_058.jpg,-146.7963,2.5729,0
frame_059.jpg,-144.0326,2.5637,0
frame_060.jpg,-142.4798,2.5576,0
frame_061.jpg,-139.7494,2.5486,0
frame_062.jpg,-139.0424,2.5426,0
frame_063.jpg,-136.3416,2.5338,0
frame_064.jpg,-133.6633,2.5251,0
frame_065.jpg,-131.0076,2.5164,0
frame_066.jpg,-128.3750,2.5079,0
frame_067.jpg,-125.7659,2.4995,0
frame_068.jpg,-124.3054,2.4939,0
frame_069.jpg,-121.7343,2.4857,0
